filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,640,640,Car,150,355,640,640
0.jpg,640,640,Bus,48,239,237,434
1.jpg,640,640,Car,72,315,640,640
1.jpg,640,640,Bus,20,197,206,398
10.jpg,640,640,Bus,363,262,424,352
10.jpg,640,640,Bus,332,281,348,311
100.jpg,640,640,Car,353,315,368,333
100.jpg,640,640,Car,328,317,350,338
1001.jpg,640,640,speed_sign,220,295,233,314
1002.jpg,640,640,speed_sign,146,284,169,314
1003.jpg,640,640,speed_sign,121,237,146,269
1004.jpg,640,640,Bus,310,310,336,346
1005.jpg,640,640,Bus,304,266,326,303
1006.jpg,640,640,Bus,326,300,364,355
1007.jpg,640,640,Bus,387,256,489,390
1007.jpg,640,640,Car,366,311,396,361
1007.jpg,640,640,Traffic_sign,242,288,261,314
1008.jpg,640,640,Traffic_sign,4,205,70,295
101.jpg,640,640,Car,352,276,382,315
101.jpg,640,640,Bus,322,254,348,297
101.jpg,640,640,Car,301,276,322,299
10143.jpg,640,640,Person,302,319,315,393
10143.jpg,640,640,Bus,340,2,640,639
10143.jpg,640,640,Person,289,325,301,397
10145.jpg,640,640,Person,238,318,256,423
10145.jpg,640,640,Bus,324,68,624,571
10145.jpg,640,640,Person,263,319,282,452
10145.jpg,640,640,Person,208,362,256,509
10148.jpg,640,640,Person,293,308,311,418
10148.jpg,640,640,Person,353,353,371,460
10148.jpg,640,640,Person,344,321,359,412
10148.jpg,640,640,Bus,423,1,640,637
10149.jpg,640,640,Person,304,330,325,471
10149.jpg,640,640,Person,323,316,337,453
10149.jpg,640,640,Person,343,318,360,409
10150.jpg,640,640,Person,280,343,323,465
10150.jpg,640,640,Person,299,311,324,459
10150.jpg,640,640,Person,346,319,363,407
10150.jpg,640,640,Person,321,311,339,436
10151.jpg,640,640,Person,120,308,188,631
10151.jpg,640,640,Person,317,305,340,444
10151.jpg,640,640,Person,299,302,323,478
10151.jpg,640,640,Person,355,315,372,370
10151.jpg,640,640,Person,362,338,374,415
10152.jpg,640,640,Person,100,296,174,608
10152.jpg,640,640,Person,274,299,305,491
10152.jpg,640,640,Person,308,302,334,462
10152.jpg,640,640,Person,347,343,367,444
10152.jpg,640,640,Bus,422,1,634,640
10158.jpg,640,640,Person,267,322,303,552
10158.jpg,640,640,Person,303,335,329,474
10159.jpg,640,640,Person,142,325,238,640
10159.jpg,640,640,Person,292,340,339,545
10159.jpg,640,640,Bus,381,4,640,634
10160.jpg,640,640,Person,254,367,316,640
10160.jpg,640,640,Person,286,344,315,426
10160.jpg,640,640,Bus,369,12,640,636
10172.jpg,640,640,Person,250,328,262,394
10172.jpg,640,640,Person,2,262,65,613
10172.jpg,640,640,Person,52,323,128,640
10172.jpg,640,640,Bus,304,68,564,568
102.jpg,640,640,Bus,346,287,391,351
102.jpg,640,640,Bus,310,313,330,344
10221.jpg,640,640,Person,46,375,92,539
10221.jpg,640,640,Car,170,386,340,640
10221.jpg,640,640,Car,336,367,415,485
10221.jpg,640,640,Car,427,398,640,638
103.jpg,640,640,Bus,387,183,518,365
103.jpg,640,640,Bus,306,261,340,310
104.jpg,640,640,Bus,322,278,371,362
104.jpg,640,640,Car,294,320,316,352
105.jpg,640,640,Bus,424,104,640,489
105.jpg,640,640,Car,342,325,379,372
105.jpg,640,640,Bus,311,315,338,356
10514.jpg,640,640,Person,81,331,142,596
10514.jpg,640,640,Car,197,114,422,530
10514.jpg,640,640,Person,467,361,561,578
10514.jpg,640,640,Person,143,337,180,439
10515.jpg,640,640,Traffic_sign,554,206,597,296
10515.jpg,640,640,speed_sign,176,252,199,302
10515.jpg,640,640,Person,41,370,111,556
10515.jpg,640,640,Person,475,391,572,626
10515.jpg,640,640,Bus,201,124,424,551
106.jpg,640,640,Bus,302,242,368,320
106.jpg,640,640,Car,286,277,300,296
106.jpg,640,640,Car,261,279,278,298
107.jpg,640,640,Bus,476,106,640,538
107.jpg,640,640,Car,344,327,364,353
107.jpg,640,640,Car,326,323,344,344
108.jpg,640,640,Car,318,281,334,307
108.jpg,640,640,Car,334,287,354,311
108.jpg,640,640,Bus,444,13,640,552
109.jpg,640,640,Car,335,318,358,350
109.jpg,640,640,Car,368,323,398,361
1098.jpg,640,640,Person,542,323,589,521
1098.jpg,640,640,Person,406,325,420,384
1098.jpg,640,640,Person,390,324,404,378
1099.jpg,640,640,Person,521,289,569,492
1099.jpg,640,640,Person,394,281,407,341
1099.jpg,640,640,Person,380,281,396,340
11.jpg,640,640,Bus,352,218,411,311
11.jpg,640,640,Bus,325,246,339,272
110.jpg,640,640,Car,324,276,348,307
110.jpg,640,640,Car,355,281,390,321
1104.jpg,640,640,Person,54,335,89,499
1105.jpg,640,640,Person,14,287,48,461
111.jpg,640,640,Car,380,317,438,384
111.jpg,640,640,Car,456,328,544,416
112.jpg,640,640,Car,366,278,421,349
112.jpg,640,640,Car,439,290,532,380
112.jpg,640,640,Car,320,271,332,291
139.jpg,640,640,Car,284,264,301,280
139.jpg,640,640,Bus,303,244,324,280
14.jpg,640,640,Bus,307,299,342,344
14.jpg,640,640,Bus,356,305,382,346
140.jpg,640,640,Car,312,319,332,339
140.jpg,640,640,Bus,332,297,358,335
1400.jpg,640,640,Traffic_sign,210,246,224,267
1401.jpg,640,640,Traffic_sign,118,260,148,297
1402.jpg,640,640,Traffic_sign,88,208,118,249
141.jpg,640,640,Bus,322,254,348,299
141.jpg,640,640,Car,300,277,318,296
142.jpg,640,640,Car,297,300,322,326
142.jpg,640,640,Bus,324,276,352,325
1425.jpg,640,640,Traffic_sign,337,296,358,319
