filename,width,height,class,xmin,ymin,xmax,ymax
0.jpg,512,512,Car,120,284,512,512
0.jpg,512,512,Bus,39,191,190,347
1.jpg,512,512,Car,57,252,512,512
1.jpg,512,512,Bus,16,157,165,318
10.jpg,512,512,Bus,290,210,339,281
10.jpg,512,512,Bus,266,225,278,249
100.jpg,512,512,Car,282,252,294,266
100.jpg,512,512,Car,262,254,280,270
1001.jpg,512,512,speed_sign,176,236,186,251
1002.jpg,512,512,speed_sign,117,227,135,251
1003.jpg,512,512,speed_sign,97,190,117,215
1004.jpg,512,512,Bus,248,248,268,277
1005.jpg,512,512,Bus,243,213,261,242
1006.jpg,512,512,Bus,260,240,291,284
1007.jpg,512,512,Bus,310,204,391,312
1007.jpg,512,512,Car,293,249,316,289
1007.jpg,512,512,Traffic_sign,194,231,209,251
1008.jpg,512,512,Traffic_sign,3,164,56,236
101.jpg,512,512,Car,282,221,306,252
101.jpg,512,512,Bus,257,203,279,237
101.jpg,512,512,Car,241,220,257,240
10143.jpg,512,512,Person,241,255,252,315
10143.jpg,512,512,Bus,272,1,512,511
10143.jpg,512,512,Person,231,260,241,318
10145.jpg,512,512,Person,190,254,205,338
10145.jpg,512,512,Bus,259,55,499,457
10145.jpg,512,512,Person,210,256,226,361
10145.jpg,512,512,Person,167,290,205,407
10148.jpg,512,512,Person,234,247,249,335
10148.jpg,512,512,Person,282,283,297,368
10148.jpg,512,512,Person,275,257,287,330
10148.jpg,512,512,Bus,338,0,512,510
10149.jpg,512,512,Person,243,264,260,376
10149.jpg,512,512,Person,259,253,270,362
10149.jpg,512,512,Person,274,254,288,328
10150.jpg,512,512,Person,224,274,258,372
10150.jpg,512,512,Person,239,249,259,367
10150.jpg,512,512,Person,277,255,290,325
10150.jpg,512,512,Person,257,249,271,348
10151.jpg,512,512,Person,96,247,151,505
10151.jpg,512,512,Person,253,244,272,355
10151.jpg,512,512,Person,239,241,258,383
10151.jpg,512,512,Person,284,252,298,296
10151.jpg,512,512,Person,290,270,299,332
10152.jpg,512,512,Person,80,237,139,486
10152.jpg,512,512,Person,219,239,244,393
10152.jpg,512,512,Person,246,242,267,370
10152.jpg,512,512,Person,277,274,293,356
10152.jpg,512,512,Bus,338,0,507,512
10158.jpg,512,512,Person,213,258,242,442
10158.jpg,512,512,Person,243,268,263,379
10159.jpg,512,512,Person,114,260,190,512
10159.jpg,512,512,Person,234,272,271,436
10159.jpg,512,512,Bus,305,3,512,507
10160.jpg,512,512,Person,203,293,253,512
10160.jpg,512,512,Person,229,275,252,341
10160.jpg,512,512,Bus,295,9,512,509
10172.jpg,512,512,Person,200,263,210,315
10172.jpg,512,512,Person,2,210,52,490
10172.jpg,512,512,Person,42,258,103,512
10172.jpg,512,512,Bus,243,55,451,455
102.jpg,512,512,Bus,277,230,313,280
102.jpg,512,512,Bus,248,250,264,275
10221.jpg,512,512,Person,37,300,74,431
10221.jpg,512,512,Car,136,309,272,512
10221.jpg,512,512,Car,269,294,332,388
10221.jpg,512,512,Car,341,318,512,511
103.jpg,512,512,Bus,310,147,414,292
103.jpg,512,512,Bus,245,209,272,248
104.jpg,512,512,Bus,258,223,297,290
104.jpg,512,512,Car,236,256,253,281
105.jpg,512,512,Bus,340,83,512,391
105.jpg,512,512,Car,274,260,303,297
105.jpg,512,512,Bus,249,252,271,285
10514.jpg,512,512,Person,65,265,113,477
10514.jpg,512,512,Car,157,91,338,424
10514.jpg,512,512,Person,374,289,449,462
10514.jpg,512,512,Person,114,269,144,351
